MPG,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,car_name,Average_weight,Average_MPG
18,8,307,130,3504,12,1970,American,chevrolet chevelle malibu,3372.793103,17.68
15,8,350,165,3693,11.5,1970,American,buick skylark 320,3372.793103,17.68
18,8,318,150,3436,11,1970,American,plymouth satellite,3372.793103,17.68
16,8,304,150,3433,12,1970,American,amc rebel sst,3372.793103,17.68
17,8,302,140,3449,10.5,1970,American,ford torino,3372.793103,17.68
15,8,429,198,4341,10,1970,American,ford galaxie 500,3372.793103,17.68
14,8,454,220,4354,9,1970,American,chevrolet impala,3372.793103,17.68
14,8,440,215,4312,8.5,1970,American,plymouth fury iii,3372.793103,17.68
14,8,455,225,4425,10,1970,American,pontiac catalina,3372.793103,17.68
15,8,390,190,3850,8.5,1970,American,amc ambassador dpl,3372.793103,17.68
15,8,383,170,3563,10,1970,American,dodge challenger se,3372.793103,17.68
14,8,340,160,3609,8,1970,American,plymouth 'cuda 340,3372.793103,17.68
15,8,400,150,3761,9.5,1970,American,chevrolet monte carlo,3372.793103,17.68
14,8,455,225,3086,10,1970,American,buick estate wagon (sw),3372.793103,17.68
24,4,113,95,2372,15,1970,Japanese,toyota corona mark ii,3372.793103,17.68
22,6,198,95,2833,15.5,1970,American,plymouth duster,3372.793103,17.68
18,6,199,97,2774,15.5,1970,American,amc hornet,3372.793103,17.68
21,6,200,85,2587,16,1970,American,ford maverick,3372.793103,17.68
27,4,97,88,2130,14.5,1970,Japanese,datsun pl510,3372.793103,17.68
26,4,97,46,1835,20.5,1970,European,volkswagen 1131 deluxe sedan,3372.793103,17.68
25,4,110,87,2672,17.5,1970,European,peugeot 504,3372.793103,17.68
24,4,107,90,2430,14.5,1970,European,audi 100 ls,3372.793103,17.68
25,4,104,95,2375,17.5,1970,European,saab 99e,3372.793103,17.68
26,4,121,113,2234,12.5,1970,European,bmw 2002,3372.793103,17.68
21,6,199,90,2648,15,1970,American,amc gremlin,3372.793103,17.68
10,8,360,215,4615,14,1970,American,ford f250,3372.793103,17.68
10,8,307,200,4376,15,1970,American,chevy c20,3372.793103,17.68
11,8,318,210,4382,13.5,1970,American,dodge d200,3372.793103,17.68
9,8,304,193,4732,18.5,1970,American,hi 1200d,3372.793103,17.68
27,4,97,88,2130,14.5,1971,Japanese,datsun pl510,2995.428571,21.25
28,4,140,90,2264,15.5,1971,American,chevrolet vega 2300,2995.428571,21.25
25,4,113,95,2228,14,1971,Japanese,toyota corona,2995.428571,21.25
25,4,98,?,2046,19,1971,American,ford pinto,2995.428571,21.25
19,6,232,100,2634,13,1971,American,amc gremlin,2995.428571,21.25
16,6,225,105,3439,15.5,1971,American,plymouth satellite custom,2995.428571,21.25
17,6,250,100,3329,15.5,1971,American,chevrolet chevelle malibu,2995.428571,21.25
19,6,250,88,3302,15.5,1971,American,ford torino 500,2995.428571,21.25
18,6,232,100,3288,15.5,1971,American,amc matador,2995.428571,21.25
14,8,350,165,4209,12,1971,American,chevrolet impala,2995.428571,21.25
14,8,400,175,4464,11.5,1971,American,pontiac catalina brougham,2995.428571,21.25
14,8,351,153,4154,13.5,1971,American,ford galaxie 500,2995.428571,21.25
14,8,318,150,4096,13,1971,American,plymouth fury iii,2995.428571,21.25
12,8,383,180,4955,11.5,1971,American,dodge monaco (sw),2995.428571,21.25
13,8,400,170,4746,12,1971,American,ford country squire (sw),2995.428571,21.25
13,8,400,175,5140,12,1971,American,pontiac safari (sw),2995.428571,21.25
18,6,258,110,2962,13.5,1971,American,amc hornet sportabout (sw),2995.428571,21.25
22,4,140,72,2408,19,1971,American,chevrolet vega (sw),2995.428571,21.25
19,6,250,100,3282,15,1971,American,pontiac firebird,2995.428571,21.25
18,6,250,88,3139,14.5,1971,American,ford mustang,2995.428571,21.25
23,4,122,86,2220,14,1971,American,mercury capri 2000,2995.428571,21.25
28,4,116,90,2123,14,1971,European,opel 1900,2995.428571,21.25
30,4,79,70,2074,19.5,1971,European,peugeot 304,2995.428571,21.25
30,4,88,76,2065,14.5,1971,European,fiat 124b,2995.428571,21.25
31,4,71,65,1773,19,1971,Japanese,toyota corolla 1200,2995.428571,21.25
35,4,72,69,1613,18,1971,Japanese,datsun 1200,2995.428571,21.25
27,4,97,60,1834,19,1971,European,volkswagen model 111,2995.428571,21.25
26,4,91,70,1955,20.5,1971,American,plymouth cricket,2995.428571,21.25
24,4,113,95,2278,15.5,1972,Japanese,toyota corona hardtop,3237.714286,18.71
25,4,97.5,80,2126,17,1972,American,dodge colt hardtop,3237.714286,18.71
